statement,translation
אבא,Dad
אבטיח,Watermelon
אביב,Spring
אבל,But
אגודל,Thumb
אגס,Pear
אדום,Red
או,Or
אוזן,Ear
אוטובוס,Bus
אוכל,Food
אולי,Maybe
אוניברסיטה,University
אופניים,Bicycle
אורז,Rice
אז,So
אח,Brother
אחות,Sister
אחרון,Last
איזה,Which
איטי,Slow
איך,How
אימא,Mother.
אין,None
איפה,Where
אישה,Woman
אם,If
אנגלית,English
אננס,Pineapple
אסור,Prohibited
אף,None
אפרסק,Peach
אפשר,Allow
אצבע,Finger
ארוחת בוקר,Breakfast
ארוחת ערב,Dinner
ארוחת צהריים,Lunch
ארנק,Wallet
אשכולית,Grapefruit
את,You
אתה,You
אתם,You
אתמול,Yesterday
בבקשה,Please
בגדים,Clothing
בוקר,Morning
בחוץ,Outside
בטן,Belly
ביחד,Together
בינוני,Medium
ביצה,Egg
בירה,Beer
בית,Home
בית חולים,Hospital
בית כנסת,Synagogue
בית מרקחת,Pharmacy
בית ספר,School
בלי,None
בן,Ben
בן דוד,Cousin
בנזין,Gasoline
בניין,Building
בננה,Banana
בנק,Bank
בסדר,Fine
בעל,Husband
בפנים,Inside
בצל,Onion
בקבוק,Bottle
בקר,Becker
בקרוב,Soon
בריא,Healthy
בשר,Meat
בת,Daughter
ג'וק,Jock.
גב,Back
גבוה,High
גבינה,Cheese
גדול,Large
גובה,Height
גוף,Body
גזר,Carrot
גם,Also
גרביים,Socks
גשם,Rain
דבש,Honey
דג,Fish
דואר,Mail
דובדבן,Cherry
דוד,Uncle
דודה,Aunt
דירה,Apartment
דלת,Door
דקה,Minute
דרום,South
דרכון,Passport
דתי,Religious
הבא,Next
הודו,India
הווה,Present
הורים,Parents
היא,She
היום,Today
הם,They
הן,They
הפסקה,Pause
הרבה,Many
התעמלות,Gymnastics
זול,Cheap
זית,Olive
זמן,Time
זקן,Old Man
חבר,Member
חברה,Company
חג,Holiday
חגורה,Belt
חדר,Room
חדש,New
חדשות,News
חודש,Month
חולה,Sick
חולצה,Shirt
חום,Heat
חומוס,Hummus
חוף,Beach
חופשה,Vacation
חורף,Winter
חזה,Breast
חזק,Strong
חלב,Milk
חלה,Challah
חלון,Window
חלוני,Window
חם,Hot
חמאה,Butter
חמוצים,Pickles
חנות,Shop
חסה,Lettuce
חצאית,Skirt
חצי,Half
חריף,Spicy
חשבון,Account
חשוב,Important
חתול,Cat
טיול,Trip
טלה,Aries
טלוויזיה,Television
טלפון,Phone
טעים,Delicious
יד,Hand
יהודי,Jewish
יוגורט,Yogurt
יום,Day
יום חמישי,Thursday
יום ראשון,Sunday
יום רביעי,Wednesday
יום שלישי,Tuesday
יום שני,Monday
יום שישי,Friday
יחיד,Single
יין,Wine
ילד,Boy
ילדה,Girl
ים,Sea
ימינה,Right
יפה,Beautiful
