statement,translation
אחרי,After
יבואו,Coming
פתאום,Suddenly
אנשים,People
בלי,None
בושה,Shame
עם,With
חיבוק,Hug
פולני,Polish
יספרו,Tell
בחלון,In the window
בדיחות,Jokes
עתיקות,Antiques
ישפילו,They will humiliate
פנים,Face
יגיעו,Arrived
אישית,Personal
זרים,Foreigners
ישירו,Sing
שירים,Songs
בקול,Loudly
חרישי,Harishi
תשטוף,Rinse
הרכילות,The Gossip
את,You.
הבור,The Pit
הטרי,The Fresh
אני,I am
אפתח,Open
בקבוק,Bottle
כמה,How much
ממחטות,Handkerchiefs
נייר,Paper
אזמין,I'll order
אותם,Them
לפיקניק,Picnic
בירקון,Birkon
המצויר,Toon
אפרוס,Afros
מפה,Map
ריבועים,Squares
אמרח,Amrach
כריכים,Sandwiches
אכין,I will
להם,To them
בדיוק,Exactly.
כאילו,Like
מה,What?
שהם,That they
צריכים,Need
ירדו,Down
קצת,A little
טיפות,Drops
מישהו,Anyone?
יפלוט,Yeplot
השמיים,The Sky
בוכים,Crying
ישימו,Ishim
כיפות,Domes
שטרות,Bills
בין,Between
זרי,ZERI
הפרחים,The flowers
הכול,All
יישאר,Stay
ממש,Right.
כשהיה,When
פה,Here.
מאז,Since
מעולם,Never
שאשוט,Shaoit
אשתקף,Is reflected
לעוד,For more
רבע,Quarter
שנייה,Second
אזרום,Azrom
אל,Do not
הים,The sea
אתה,You.
תראה,Look.
עוד,More
ימים,Days
טובים,Good.
הנשק,The Weapon
ייתקרר,Cooled
לאט,Slowly
יחליד,Rust
חלומות,Dreams
יפים,Beautiful
על,About
מרחקים,Distances
נהיה,We will
לך,Go on.
קהל,Audience
בהופעת,In appearance
יחיד,Single
הכל,All
יחזור,Returns
כמו,Like
אז,So?
כל,All
הימי,Marine
הולדת,Birth
כשלא,When not
היית,You were
רעש,Noise
חברים,Friends
עוגות,Cakes
ימי,Marine
שישי,Friday
נכיר,Acknowledged
תינוק,Baby
חדש,New
שעדיין,which still
לא,Don't
ראית,Have you seen
הכרכרה,The carriage
שלך,Yours
כבר,Already
מחכה,Waiting
השדים,The Demons
כולם,Everybody.
עזבו,Leave
רק,Just
אנחנו,We are
כאן,Here
בלבוש,Dressed
שתיקה,Silence
הדרך,The Way
הנפתחת,Opener
היד,The Hand
פתוחה,Open
לקחת,Take
אין,None
יותר,More
שדים,Demons
אהוב,Beloved
יהיו,There will be
הזמן,Time
ירוץ,Run
פראי,Wild
אבל,But
הרבה,Many
עדר,Herd
איילות,Reindeer
יחליפו,Replace
זאבים,Wolves
הלב,The Heart
יאיץ,Yahtz
כך,This way
מהר,Hurry!
סדקי,Cracks
הקיר,The Wall
המעופש,The stale
יהפכו,will become
להיות,to be
שורות,Lines
שושן,lily
תהיה,Be
נעול,Locked
חופשי,Free
משוטט,Wandering
ברחוב,On the street
במתח,Stressed
תר,Tarr
בכל,All
חלון,Window
נערות,Girls
עומדות,Standing
בפתח,In the doorway
בעיני,In my eyes
נאון,Naon
עיר,City
קורצת,winking
גוססת,Dying
מפירה,Sewage
עצה,Advice
מוצא,Find
זזים,Moving
מכאן,This way
אוזל,Running out
האור,The Light
דוהר,galloping
מתגבר,Overcoming
במרחב,In Space
חסום,Blocked
זה,It's
מבוי,Mbui
סתום,Shut up.
האספלט,Asphalt
נמס,Melting
בדרך,On the way
בניין,Building
נסדק,Cracked
מישהי,Someone
כורעת,kneeling
ברך,Knee
סוף,End
המשחק,The Game
הביבים,The gutters
יחד,Together
ביצה,Egg
איש,Man
הכיר,Familiar
אותי,Me
שאת,That you
הכרת,You knew
הורים,Parents
אפילו,Even
הסעיר,The Storm
הסערת,The Storm
הצרוף,The combination
טירוף,Madness
אחד,One
שני,Two.
באהבה,With Love
הזאת,This
שמץ,Extent
הגיון,Logic
כשלתבוסה,Defeated
הכי,The Best
קשה,Hard
יש,There is
טעם,Taste
ניצחון,Victory
הסגיר,Submit
הסגרת,Extradition
לצללים,Shadows
האפלים,The Dark
של,of
אי,Island
הוודאות,The certainty
הפקיר,The Pekir
הפקרת,Dismissal
בשלווה,Peacefully
ללא,None
איבה,EVE
בטעות,Accidentally
אהב,Loved
אהבת,Love
עזב,Left
עזבת,You left
טועים,Wrong
בחושך,In the dark
גשם,Rain
ניתך,Nacht
הם,They
שותקים,Shut Up
בודדים,Lonely
שכחו,Forget
נס,Miracle
האושר,Happiness
שהובטח,Promised
כשהיו,When they were
ילדים,Children
תשכח,Forget
להרגיש,to feel
לראות,See
תפסיק,Stop.
לחלום,Dreaming
לקוות,Hope
לרחם,Pity
לבכות,Cry
לאהוב,To Love
לחיות,Live
גם,Also
הייתי,I was
ילד,Boy
פעם,Once
מזמן,Long ago
כשהייתי,When I was
טוב,Well.
שכחתי,I forgot
התכלת,Blues
מול,Mol
הענן,The Cloud
אך,But
תוותר,Give up.
כשתגדל,When you grow up
בדרכך,On Your Way
תחיה,Live
בני,My son
אדם,Adam
פלאים,Wonders
כאלה,Such
בביתך,In your home
פני,Penny.
העולם,The World
בסוף,At the end
תמונה,Image
אחת,One
תמיד,Always
אלי,Ellie.
חוזרת,Repeat
הרגש,Feel
שמציף,That floods
נשמתי,My Soul
זוכר,Remember
הלילות,The Nights
בעיר,In town
אחרת,Otherwise
הבדידות,Loneliness
שמלווה,Which accompanies
אם,If
מרגיש,Feel
שהסופה,The Storm
דוהרת,Speeding
בתוך,Inside
תוכי,Parrot
מתהפכת,Overturning
דעתי,My Opinion
עמוק,Deep
בלב,In the Heart
האש,The fire
שבי,Sit
נשמרת,Saved
הבטחות,Promises
אוהבת,Love
תתני,Give
לי,Lee
לעזוב,Leave
הרע,The Bad
הטוב,The Good
תלמדי,Learn
עלייך,About You
לוותר,Give up
פחות,Less
לעולם,Never
אלך,I will.
אלייך,To You
קול,Voice
פנימי,Internal
אותו,Him
עכשיו,Now
שומע,Hear
רוצה,Want
לחזור,Go back
השמחה,The Joy
עצמי,Self
כי,Because
ממרחק,From a distance
בפנים,Inside
יודע,Know
שעל,About
ידך,Your hand
המקום,The Place
האמיתי,The Real
שמעתי,I heard
ב,On
הקטנה,The Little
שנעלמה,Disappeared
היא,She
נתנה,Nathana
רסיס,Shrapnel
מעצמה,Power
שלמה,Solomon
הבנתי,Got it.
איך,How
מרצונה,Willingly
ידינו,Our Hands
עצמה,Herself
צימצמה,Minimize
די,Stop.
לה,Lah
במקומה,In place
לילה,Night
ניגנה,Play
בלילה,At night
שלחה,Send
סודה,Soda
אף,None
אדע,I will know
חשבתי,I thought
כמעט,Nearly
שנה,Year
תמימה,Innocent
בטוח,Sure.
מאיזו,From which
פינה,Corner
פגעה,Hit
בי,Bea
מנגינה,Music
נזכרתי,I remembered
הדרכים,The Roads
נצבעו,Painted
במרבד,Bambard
ארגמן,Purple
דהו,Duh
ערפל,Fog
ענן,Cloud
נפרדים,Separated
מן,Man
החום,The Heat
זו,This is
דרכו,His Way
הסתיו,Autumn
ככה,Like this
בא,Coming
לו,Lou.
ארזת,Packed
מזוודה,Suitcase
צעיף,Scarf
לראשך,To Your Head
דרכה,Her Way
פרידה,Farewell
כשהחורף,When winter
מושך,Attractive
השארת,You left
מכתב,Letter
שאוהבת,Loves
הצמרמורת,The chills
תעיד,Testify
שרו,Sing
עליו,About him
כשעצוב,When sad
להזכיר,Mention
שגם,Which also
קיץ,Summer
ישוב,Return
אותה,Her
אהבה,Love
שעזבה,Left
חיי,My Life
תשוב,Return
בוודאי,Sure.
באפריל,April
או,Or
במאי,May
שולחן,Table
המטבח,The Kitchen
הנחת,Laying
לפרחים,Flowers
שיזכירו,Remembering
אותך,You.
קפה,Coffee
אורחים,Guests
פסנתר,Piano
הכנף,The Wing
צינה,Chill
שעצוב,That sad
הווילון,The Curtain
מתנופף,Flapping
התריס,The shutter
שוב,Again
חורק,Squeak
השקט,The Quiet
עוטף,Envelope
הבית,Home
הריק,The Empty
האבק,Dust
במדף,On the shelf
נערם,Stacked
לפני,Before
עוזבת,Leaving
הרי,Mountain
בוקר,Morning
ארץ,Country
לאיזה,Which
יום,Day
מתעוררת,Wake up
איזה,Which
כנפיים,Wings
נפרשות,Spreadout
מעל,Over
ראשך,Your head.
דמעות,Tears
שומרת,Save
מתי,When
החושך,The Darkness
יתחלף,Switch
בזריחתך,In Your Flow
ביקשתי,I asked
גפן,Vine
תאנה,fig
תני,Give
לקום,Get up
חולין,Julin
בהיר,Bright
תופים,Drums
נבל,Villain
אבן,Stone
ישנה,Old
שלווה,Serenity
פשוטה,Simple
שקט,Quiet.
באויר,In the Air
לאחרונה,Recently
מנחלייך,From your streams
שקופים,Transparents
שהיו,There were
למה,Why?
מתפלל,Praying
אלה,These
שיהיו,Whatever.
הגליל,The Galilee
הנופים,The Landscapes
משתנים,Variables
לאחר,After
שנים,Years
חוזר,Repeat
הנעורים,Youth
המונית,The Taxi
מטפסת,Climbing
במעלה,Upward
ההר,The Mountain
סגור,Close
מבקשת,Request
נעשה,Done
קר,Cold
רחוב,Street
אחר,Other
מוכרים,Sellers
שכונה,Neighborhood
לקרית,To Kiryat
שמונה,Eight.
ממול,In front
גולן,Golan
הר,Mountain
נפתלי,Naftali
תמונות,Photos
מטושטשות,Blurred
ילדותי,Childish
תל,Tel
חי,Alive
מטולה,Matula
הן,They
חלק,Part
מהנוף,From the view
אליו,To Him
נוסע,Traveler
לחשוף,Reveal
בחיק,On lap
הטבע,Nature
שוכב,Lying
הגב,The back
רחוק,Far Away
מבניינים,From Buildings
כבישים,Roads
אוהב,Love
צבע,Color
ירוק,Green
גווניו,Guinot
מעדיף,Preferably
עצים,Trees
רגוע,Calm
אגם,Lake
מדבר,Desert
פרפרים,Butterflys
סופר,Author
עד,Up to
שבע,Seven
בקלות,Easily
נרדם,Sleeping
מתעורר,Wake up
משיר,Song
ציפורים,Birds
כשהרוח,When the wind
נוגעת,Touching
בכתפי,Shoulder
שאבוא,Shall I
מין,Gender
צמרמורת,Chills
עוברת,Passing
בגופי,In my body
עונה,Season
ואוו,Wow.
הו,Ooh.
שיעור,Lesson
בטבע,In Nature
שאי,Shay
אפשר,Allow
ללמוד,Learn
בבית,Home
הספר,The Book
במרכז,Center
העיר,The City
חצי,Half
שעה,Hour
סוד,Secret
הלימוד,Study
מהיר,Quick
פוגש,Meets
פרחים,Flowers
חרקים,Insect
שמבקשים,Requests
קירבה,Closeness
גבעה,Hill
בעשב,In grass
שיחים,Bushes
לומד,Studying
בראשית,Genesis
סיכוי,Chance
נוסף,More
ליאן,Lian
חתמתי,Signed
קבע,Set
הרגשה,Feeling
חופשית,Free
יזיז,Yaziz
פרקים,Chapters
שלמים,Complete
קו,Line
מחיי,From my life
קורה,Cora
שמתגנב,who sneaks
הבהוב,Flashing
מסרט,From Film
ישן,Sleeping
מחייכת,Smiling
אתך,With You
צועקת,Shouting
ני,Nee
נעלם,Disappeared
בשבילי,For me
שום,Garlic
דבר,Talk
מובן,Understood
ידעתי,I knew
מנעתי,I prevented
המושטת,The Outreacher
לחצתי,I pressed
ימת,Lake
התנאי,The Condition
תטרידי,Tardy.
משלך,Your own
בדו,Beddoe
קרב,Battle
הזה,This
נסלח,Forgiven
העונש,The Punishment
הוא,He is
לזעוק,Shouting
ית,Yes.
בך,In you
עולמך,Your World
חשבון,Account
ברחתי,I ran.
ממך,From You
התרפקתי,I hesitated
אור,Light
תוף,Drum
כינור,Violin
נשאר,Remains
מזה,From this
כשהלכת,When you went
מהבית,Home
זיכרון,Memory
אתגר,Challenge
מוצלח,Successfully
בית,Home
שדומה,Which is similar
לשלך,Yours.
חלום,Dream
זיר,Zir
ריקוד,Dance
אירוטי,Erotic
בקצב,In tempo
אינסופי,Endless
פולחן,Worship
לאל,To God
האדמה,The land
ציפור,Bird
אקזוטית,Exotic
נחה,Resting
כתפי,Shoulder
השמש,The Sun
אדומה,Red
ליד,Next
השער,The Gate
אנטילופ,Antelope
עדין,Gentle
שנעצר,Arrested
נשימה,Breathing
תופי,Drums
היער,The Forest
מפחידים,Scary
החסרתי,I missed
פעימה,Beat
אפריקה,Africa
פרופסור,Professor
קרוגר,Krueger
מיסיונר,Missionary
בלגי,Belgian
מוצץ,Sucker
מקטרת,Pipe
בדריכות,With vigilance
מנזר,Convent
בגונגל,In the Jungle
מבטיח,Promise
בשליחות,In Mission
פועל,Running
שחור,Black
מסמכים,Documents
מבריחים,Smugglers
מדווחים,Reporting
שלובי,Shloby
ידיים,Hands
באפס,In Zero
מעשה,Act
אנשי,People
השבט,The Tribe
ממתינים,Waiting
מתוך,From
המים,The Water
נהר,River
גואה,Goa
עולים,Ascending
התנינים,The Crocodiles
מכונית,Car
צבאית,Military
שנעצרה,Arrested
בחריקה,Shrek
הגנרלים,The Generals
שבאו,Bao
אבי,Father
אומרים,They say
שמסוכן,Which is dangerous
הנוגה,The Venus
הצדק,Justice
חיוך,Smile
הי,Hey.
יופיטר,Jupiter
בוא,Come on.
נצאה,Out.
בשביל,For
החלב,The Milk
כוס,Cup
הפוך,Reverse
נראה,Looks
שלום,Hello.
קסיופאה,Cassiopeia
נתפוס,Catch.
עגלה,Cart
קטנה,Small
גדולה,Large
הלילה,Tonight
משגע,Awesome.
מעט,A little
שצדק,That Justice
ונוס,Venus
לבד,Alone
יוצאים,Outgoing
לבלות,Hang out
יד,Hand
ביד,By hand
בשמיים,In Heaven
נקפוץ,Jump.
לשעה,per hour
כוכב,Star
הצפון,North
רוח,Wind
קלילה,Lightly
מנשבת,Blowing
תתנהג,Act.
אפלטון,Plato
אינני,I am not
זנב,Tail
השביט,The Comet
כשהוא,When he
יביט,Yavit
לנו,To Us
רגע,Wait.
לשבת,Sit
הרקיעו,Agridomes
שחקים,Skys
קרצו,Crezzo
כוכבים,Stars
הכסיל,The Fool
לבדו,Alone
שח,Check
פיקפוקים,punctuation
הביטו,Look
זוג,Couple
משמיים,Heavenly
מאדים,Mars
בצד,Side
האדים,The steam
תצמיח,Grow
קרניים,Horns
גר,Live
שם,Name
במגדל,In the Tower
משקיף,Overlooking
מגודל,Sized
ארבעה,Four
כיווני,Directions
אוויר,Air
למעלה,Top
שלושים,Thirty
עובדים,Employees
מגיע,Coming
דוהרים,galloping
בכבישים,On the roads
נוטשים,Abandoned
שמותר,Allowed
להגשים,Fulfill
מחפשים,Search
תשובה,Answer
יורדים,Going Down
ייאוש,Despair
תקווה,Hope
רוצים,Want
יוצא,Outgoing
לנדוד,Wandering
לארץ,To Earth
רחוקה,Far Away
מזוודות,Luggage
הדחקה,Repression
עובר,Passing
כשאין,When there is
ראיתי,I saw
ברוש,Cypress
שניצב,Standing
שדה,Field
בחמסין,Bhamsin
בקרה,Control
הסערה,The Storm
צידו,SIDE
נטה,Neta
הברוש,The Cypress
נשבר,Broken
צמרתו,His Highness
הרכין,The Mounting
עשב,Grass
הנה,Here.
קם,Cam
רם,Ram
אש,Fire
מים,Water
איתן,Ethan
ניתן,Enabled
אלמד,Learn
עץ,Tree
שנשבר,Broken
יכול,Can
הנשמות,Souls
הטהורות,The Pure
הקבצנים,The Beggars
פושטים,Raiders
עורות,Skins
גורפים,Sweeps
כספים,Finances
פורטים,Ports
חושפים,Revealing
מומים,Mutations
לעשרות,For the Dozens
מנגנים,Playing
כינורות,Violins
הפנסים,The lanterns
אורות,Lights
אזוב,Azov
טחב,Moth
בקירות,Walls
הגנבים,The Thieves
בחצרות,In Courts
אוספים,Collections
בשקט,Quietly
אוצרות,Treasures
לכל,For All
פרטי,Private
אשר,Confirm
מעיד,Testifying
טיב,Tiv
יושביו,Seats
תלויים,Dependent
שלטים,Signs
צדיקים,Righteous
רבב,Immaculate
הנערים,The Boys
עושים,Do
צרות,Trouble
נטפלים,Pickles
לנערות,For girls
פותחים,Open
תיקים,Cases
חקירות,Investigations
מלכלכים,Dirt
הקירות,The walls
שלחו,Send
שלשה,Three
למאסר,To imprisonment
מפני,Because
שלא,Not
ידעו,Know
מוסר,Morality
