English,Hebrew
abiding,שומר
ability,יכולת
abilities,יכולות
able,מסוגל
abortion,הפלה
about,בערך
above,למעלה
absolute,מוחלט.
absolutely,בהחלט.
abuse,התעללות
accept,קבל
acceptable,מקובל
access,גישה
accessible,נגיש
accompanied,מלווה
according,על ־ פי
account,חשבון
ace,אס
acid,חומצה
act,פעולה
acted,פעל
acting,משחק
action,פעולה
actions,פעולות
activate,הפעל
activated,מופעל
activation,הפעלה
active,פעיל
actively,פעיל
activity,פעילות
actor,שחקן
acts,פעולות
actual,בפועל
actually,למעשה
adapt,התאם
add,הוסף
added,הוסף
adding,הוספת
address,כתובת
adj,סד
adjust,התאם
adjusted,מותאם
adult,מבוגר
advertisement,פרסומת
advertising,פרסום
affected,מושפע
aft,אחורי
after,אחרי
again,שוב.
against,נגד
age,גיל
aged,זקן
agency,סוכנות
agent,סוכן
agents,סוכנים
ages,גיל
aggressive,אגרסיבי
aging,מזדקן
ago,לפני
agree,מסכים.
ah,אה
ahead,קדימה
aid,סיוע
aye,כן.
ailing,חולה
aim,כוון
ain,"""זה"""
air,אוויר.
al,אל
album,אלבום
alcohol,אלכוהול
alert,התראה
alf,אלף.
alias,שם בדוי
alien,זר
align,ישר
aligned,מיושר
all,הכל
allow,אפשר
allowed,אפשר
allows,מאפשר
almost,כמעט.
alone,לבד
along,לאורך
alpha,אלפא
also,גם
alter,שינוי
although,אם כי
always,תמיד
am,am
amber,ענבר
among,בין
amount,סכום
amp,מגבר
ample,שפע
an,AN
analysis,ניתוח
and,ו
angel,מלאך.
anger,כעס
angle,זווית
any,כל
animal,חיה
anything,כל דבר.
announced,הודעה
another,אחר
answer,תשובה
answered,ענה
anti,אנטי
anticipated,צפוי
ants,נמלים
ape,קוף
apes,קופים
apple,תפוח
apply,החל
application,יישום
appointed,מונה
appropriate,מתאים
appropriately,בצורה הולמת.
approved,אושר
approximately,בערך.
arc,קשת
arch,קשת
archive,ארכיון
archives,ארכיונים
are,הם
area,אזור
aren,הם
argument,טיעון
ark,תיבה
arm,זרוע
armed,חמוש
armor,שריון
arms,ידיים.
around,בסביבה.
array,מערך
arrow,חץ
arse,תחת
arson,הצתה
art,אמנות
article,מאמר
articles,מאמרים
artifacts,חפצים
artist,אמן
arts,אמנות
as,כמו
ash,אפר
ashes,אפר
ask,שאל
asking,שואל
asks,שואל
ass,תחת
assault,תקיפה
assembled,הורכב
