statement,translation
אחרי,After
יבואו,Coming
פתאום,Suddenly
אנשים,People
בלי,None
עם,With
חיבוק,Hug
פנים,Face
אישית,Personal
אפתח,Open
נייר,Paper
מפה,Map
כאילו,Like
צריכים,Need
ירדו,Down
בין,Between
הכול,All
יישאר,Stay
כשהיה,When
מאז,Since
מעולם,Never
שנייה,Second
עוד,More
ימים,Days
על,About
יחיד,Single
הכל,All
יחזור,Returns
כמו,Like
כל,All
הולדת,Birth
חברים,Friends
שישי,Friday
תינוק,Baby
חדש,New
כבר,Already
עזבו,Leave
רק,Just
כאן,Here
פתוחה,Open
לקחת,Take
אין,None
יותר,More
הזמן,Time
פראי,Wild
אבל,But
הרבה,Many
תהיה,Be
חופשי,Free
בכל,All
חלון,Window
נערות,Girls
עומדות,Standing
עיר,City
מוצא,Find
בניין,Building
מישהי,Someone
סוף,End
יחד,Together
איש,Man
אותי,Me
הורים,Parents
אפילו,Even
אחד,One
הזאת,This
קשה,Hard
של,of
ללא,None
אהבת,Love
עזב,Left
גשם,Rain
הם,They
ילדים,Children
לראות,See
לקוות,Hope
לבכות,Cry
לחיות,Live
גם,Also
ילד,Boy
פעם,Once
אך,But
תחיה,Live
אדם,Adam
כאלה,Such
תמונה,Image
אחת,One
תמיד,Always
חוזרת,Repeat
הרגש,Feel
זוכר,Remember
אחרת,Otherwise
אם,If
מרגיש,Feel
בתוך,Inside
עמוק,Deep
שבי,Sit
אוהבת,Love
תתני,Give
לי,Lee
לעזוב,Leave
פחות,Less
לעולם,Never
קול,Voice
פנימי,Internal
עכשיו,Now
רוצה,Want
עצמי,Self
כי,Because
בפנים,Inside
יודע,Know
שעל,About
ב,On
היא,She
מעצמה,Power
איך,How
לילה,Night
שלחה,Send
אף,None
כמעט,Nearly
שנה,Year
ענן,Cloud
מן,Man
בא,Coming
מכתב,Letter
שרו,Sing
קיץ,Summer
ישוב,Return
אותה,Her
אהבה,Love
באפריל,April
או,Or
במאי,May
שולחן,Table
שוב,Again
הבית,Home
האבק,Dust
לפני,Before
בוקר,Morning
ארץ,Country
לאיזה,Which
יום,Day
איזה,Which
מעל,Over
שומרת,Save
מתי,When
תני,Give
בהיר,Bright
אבן,Stone
ישנה,Old
פשוטה,Simple
לאחרונה,Recently
אלה,These
לאחר,After
שנים,Years
חוזר,Repeat
סגור,Close
מבקשת,Request
נעשה,Done
קר,Cold
רחוב,Street
אחר,Other
תמונות,Photos
תל,Tel
הן,They
חלק,Part
הטבע,Nature
אוהב,Love
צבע,Color
ירוק,Green
אגם,Lake
סופר,Author
שבע,Seven
משיר,Song
מין,Gender
עונה,Season
אפשר,Allow
ללמוד,Learn
בבית,Home
במרכז,Center
חצי,Half
שעה,Hour
סוד,Secret
הלימוד,Study
מהיר,Quick
גבעה,Hill
סיכוי,Chance
נוסף,More
קבע,Set
חופשית,Free
שלמים,Complete
קו,Line
דבר,Talk
קרב,Battle
הזה,This
חשבון,Account
אור,Light
מהבית,Home
זיכרון,Memory
בית,Home
חלום,Dream
ציפור,Bird
אדומה,Red
ליד,Next
פרופסור,Professor
פועל,Running
שחור,Black
מסמכים,Documents
מדווחים,Reporting
מעשה,Act
אנשי,People
מתוך,From
נהר,River
מכונית,Car
צבאית,Military
אבי,Father
הצדק,Justice
בשביל,For
נראה,Looks
קטנה,Small
גדולה,Large
הלילה,Tonight
יד,Hand
כוכב,Star
הצפון,North
רוח,Wind
לשבת,Sit
כוכבים,Stars
שח,Check
הביטו,Look
מאדים,Mars
בצד,Side
גר,Live
שם,Name
ארבעה,Four
אוויר,Air
למעלה,Top
שלושים,Thirty
מגיע,Coming
מחפשים,Search
תשובה,Answer
תקווה,Hope
רוצים,Want
שדה,Field
בקרה,Control
קם,Cam
רם,Ram
אש,Fire
מים,Water
ניתן,Enabled
אלמד,Learn
עץ,Tree
יכול,Can
מנגנים,Playing
פרטי,Private
עושים,Do
פותחים,Open
שלחו,Send
מפני,Because
שלא,Not
ידעו,Know
בשר,Meat
כדי,To
אוגוסט,August
להישאר,Stay
פרטים,Details
קטנים,Small
שחוזר,Returns
בחזרה,Back
שמש,Sun
ספסל,Bench
פשוטים,Simple
שלנו,Our
לימים,Days
אמא,Mom
חכמה,Smart
האחרונים,Recent
שלה,Her
עשוי,May
השפה,Language
כנראה,Probably
איבדה,Lost
תגידו,Say
שקר,False
יתרה,Balance
בגלל,Because
עושה,does
גופה,Body
ביחד,Together
פנימה,Inside
עומדים,Standing
במקום,Instead
אתמול,Yesterday
לפעמים,Sometimes
בשורה,Line
חוקים,Rules
עלי,Ali
כללים,Rules
אמת,Truth
ברור,Clear
חזק,Strong
מלחמה,War
קטן,Small
החיים,Life
שלי,Mine
הצבאי,Military
עומד,Standing
להביא,Bring
לזוז,Move
שעות,Hours
מיני,Mini
משחק,Game
הצרפתית,French
האם,Is
לעוף,Fly
ליפול,Fall
עף,Flying
לרוח,Spirit
צדק,Justice
תוך,While
איזו,Which
מסגרת,Frame
חתול,Cat
כלב,Dog
ארצה,Down
ימשיך,Continue
תעלה,Channel
יעבור,Pass
החורף,Winter
יבוא,Import
אביב,Spring
סביב,Around
רכה,Soft
החופש,Freedom
תוקף,Valid
היום,Today
בו,Bo
תשב,Sit
כותב,Author
חותם,Sign
תזכור,Remember
תפתח,Open
ספר,Book
יקרא,Read
גדול,Large
ישמע,Listen
צבא,Army
יזכו,Win
עולם,World
מעביר,Moving
תחת,Ass
תעביר,Pass
תפקוד,Function
נפש,Soul
תכתוב,Write
בראש,Head
יחיה,Live
ימות,Die
רוע,Evil
דם,Blood
סופו,End
יביא,Bring
מלך,King
משנה,Sub
זמן,Time
קרה,Cold
חסר,Missing
שאין,None
מקום,Place
סיבה,Reason
לחכות,Wait
מחר,Tomorrow
לפנות,Clear
פחד,Fear
מצב,Status
לריב,Fight
לדבר,Talk
לנסות,Try
המחר,Tomorrow
הולך,Going
לאיבוד,Lost
אמיתי,Real
פסק,Pause
קורא,Reader
חדשות,News
שאוהב,Love
כאב,Pain
מתוק,Sweet
השקת,Launch
הלאומי,National
ברשת,Online
גרסה,Version
חדשה,New
חדר,Room
גרסת,Version
כולל,Includes
נגד,Against
כרגע,Currently
שבוע,Week
תשאל,Ask
מדוע,Why
חלשים,Weak
בימים,Days
קשים,Hard
מנותק,Offline
ריק,Empty
למות,Die
גשר,Bridge
דצמבר,December
צל,Shadow
כבד,Heavy
חורף,Winter
משתנה,Variable
פותח,Open
מענה,Reply
שבו,Sit
חסרות,Missing
רואות,See
אמונה,Faith
אחרון,Last
התקווה,Hope
לבנים,White
נשים,Women
גברים,Men
נבנה,Built
שעון,Clock
ליידי,Lady
בפעם,Time
האהבה,Love
לשנות,Change
לשאול,Ask
מת,Dead
חושב,Think
עיקר,Main
שומר,Guard
נסגר,Close
רבות,Many
הולכים,Going
מסביב,Around
מצא,Find
לפתע,Suddenly
לב,Heart
יצא,Out
בכיכר,Square
שכל,Mind
אחזור,Return
גיבור,Hero
נגמר,Over
מוכן,Ready
חכמים,Smart
מדהימים,Amazing
ברירה,Choice
אלפי,Thousands
פעמים,Times
קרוב,Close
לגשת,Access
כולו,All
אזהרה,Warning
תגידי,Say
מכל,All
טעות,Error
ניפגש,Meet
טיפה,Drop
חום,Heat
אדום,Red
חזרה,Back
לוקחת,Take
תשאלי,Ask
נגמרה,Over
לדעת,Knowing
אדמה,Earth
לגעת,Touch
לשבור,Break
באמצע,Middle
מושלם,Perfect
להמליץ,Recommend
סדר,Order
כסף,Money
להשיב,Reply
בחור,Guy
אוכל,Food
מבפנים,Inside
מסתיר,Hide
סופה,Storm
כולי,All
צריך,Should
פלא,Wonder
מלאך,Angel
אחז,Hold
עמדו,Stand
בתור,As
כרטיסים,Tickets
אמרו,said
במגע,Contact
לעשות,Do
תגיד,Say
בן,Ben
הלאה,Next
כוכבי,Stars
גז,Gas
סימן,Mark
השמות,Names
נלחם,Fighting
שנמכר,Sold
למרות,Although
מילה,Word
מגע,Contact
קריאה,Read
שמחה,Joy
יהיה,Will
עצרו,Stop
מפעם,From
יפתח,Open
ספינת,Ship
קטנות,Small
פשוט,Simple
יידע,Know
להסתיר,Hide
בשפת,Language
כנף,Wing
יראה,Look
שיא,Record
תום,Tom
כאבים,Pain
למצוא,Find
משק,Farm
עת,Time
שינויי,Changes
אחרים,Others
צורך,Need
מאוד,Very
שליטה,Control
טו,Tu
להמשיך,Continue
פי,Fi
להקשיב,Listen
נמצאת,Found
תנסי,Try
מאוחר,Late
צעד,Step
בוחרת,Select
הולכת,Going
התמונה,Image
נכתב,Written
תהיי,Be
מחפש,Search
קל,Easy
ראשון,First
מודה,Thanks
עבר,Past
חשבה,thought
מצאה,Found
הקשה,Hard
ללכת,Go
מילים,Words
שלעולם,Never
בעצם,Actually
לבסוף,Finally
קרא,Read
החלון,Window
חם,Hot
נשמה,Soul
עברו,Move
לבן,White
אפור,Gray
לבנות,Build
שאמצא,Find
אפסיק,Stop
לחפש,Search
נה,Na
משהו,Something
נסתר,Hidden
עתיד,Future
עדיין,Yet
הקשר,Context
עוצר,Stop
הכניסה,Entry
תבקש,Ask
תקבל,Accept
קודם,Prev
שעת,Time
זהב,Gold
תחפש,Search
לעמוד,Stand
עומק,Depth
שטח,Area
חול,Sand
סקס,Sex
חיים,Life
נקבע,Set
עמדה,Position
מכרה,Mine
עצובה,Sad
גוף,Body
מבט,View
לשחק,Play
שעכשיו,Now
משחקת,Playing
כהה,Dark
חרב,Sword
אבד,Lost
דרך,Way
שואלים,Ask
ירח,Moon
ביותר,Most
תעשה,Do
אוסף,Collection
טיפוס,Type
כזה,Such
שמח,Happy
שמע,Listen
בוטח,Trust
בנות,Girls
לכתוב,Write
רכבת,Train
אחרונה,Last
ארוכה,Long
פריז,Paris
מקור,Source
גרמניה,Germany
מלכה,Queen
צמוד,Close
צרפתי,French
קצר,Short
שנות,Years
צלילים,Sounds
עניין,matter
נלמד,Learn
קחי,Take
אבוד,Lost
לשים,Put
שתחזור,Return
כיס,Pocket
ימין,Right
תחילת,Start
פתוח,Open
מדברים,Talking
שתמיד,Always
בנו,Son
לנוח,Rest
ילדה,Girl
מספיק,Stop
המרחק,Distance
המשיכו,Continue
מרחק,Distance
שב,Sit
ברורה,Clear
סתם,Just
אדמת,Land
לצד,Side
אבק,Dust
קלות,Easy
אויר,Air
לשום,None
עמוקה,Deep
שונות,Various
תפוח,Apple
בצבע,Color
מצלמה,Camera
ארוך,Long
מסתירה,Hide
מאחורי,Behind
העדשה,Lens
תפקיד,Role
חבר,Member
ההורים,Parents
ראשונה,First
בגיל,Age
דיאלוג,Dialogue
שאלה,Question
שתאהב,Love
פקודה,Command
באותה,Same
שפה,Language
מתכון,Recipe
רגיל,Normal
צריכה,Need
איכפת,Care
גבול,Border
תשחק,Play
רחב,Wide
עובד,Works
החוצה,Out
תעבור,Pass
תנוח,Rest
מתקדמת,Advanced
קפיצה,Jump
למים,Water
תציל,Save
תביא,Bring
תיקח,Take
שכולם,Everyone
עשה,Done
תן,Give
הערב,Tonight
לגרום,Cause
חינם,Free
יציאה,Exit
עמדת,Position
מיוחד,Special
למסיבה,Party
לענות,Answer
תלמד,Learn
להוריד,Download
תה,Tea
נמוך,Low
הילוך,Gear
שמעו,Listen
להציל,Save
מהחברים,Members
התמונות,Images
חוש,Sense
קשר,Contact
מחפשת,Search
נורמלי,Normal
גבר,Man
ללב,Heart
להגן,Protect
בחוץ,Outside
חיה,Animal
מוכנה,Ready
להיכנס,Enter
אנא,Please
תשלח,Send
מנוחה,Rest
שלח,Send
כה,As
מסיבה,Party
הצבע,Color
הקיץ,Summer
שמשהו,Something
סי,C
חברה,Company
ישראל,Israel
טבעת,Ring
אלא,Except
מזל,Luck
עוף,Chicken
מקסימום,Max
תסיים,Finish
ידיד,Friend
חייב,Must
שבת,Saturday
שלישי,Third
עובדת,Working
רביעי,Wednesday
רוד,Rod
חמישי,Thursday
דן,Dan
אביר,Knight
גלגל,Wheel
אתם,You
יודעים,Know
צו,Order
ינ,Jan
תו,Character
רעה,Bad
אכפת,Care
צפו,Watch
להדליק,Light
להתאמץ,Try
טקסט,Text
קוראת,Reading
השאר,Leave
שניה,Second
ביטקוין,Bitcoin
באה,Coming
חברות,Companies
מסוג,Type
פתחה,Open
יהי,May
ראשי,Main
קן,Ken
היכן,Where
עתה,Now
ממקום,From
פרץ,Hack
בול,Bull
רץ,Running
מדי,Too
סטטוס,Status
שתגיד,Say
מגיעות,Coming
מלא,Full
כותבת,Writing
חמה,Hot
קרים,Cold
ביתי,Home
אט,Slow
בטרם,Before
נחל,River
דומה,Similar
תספר,Tell
השתנה,Changed
מדמיין,Imagine
מקורי,Original
מכירות,Sales
אילו,Which
מצד,Side
לראש,Head
שמאל,Left
להזיז,Move
הזמינו,Order
ניידת,Mobile
מד,Med
זרוק,Drop
קצב,Rate
מבלי,Without
יכולה,Can
חופש,Freedom
להפסיק,Stop
עשרים,Twenty
חייבת,Must
לקפוץ,Jump
מרחוק,Remote
מזיז,Moving
לונג,Long
כסא,Chair
פנוי,Clear
כדור,Ball
כיף,Fun
שהכל,Everything
קור,Cold
לעת,Time
זוכרת,Remember
פת,Path
מדליק,Cool
כדורגל,Football
ישראלי,Israeli
מעריץ,Fan
מספר,Number
מדינה,Country
שיר,Song
קריאת,Read
שחקן,Player
כחול,Blue
הופ,Hope
טים,Tim
מזכיר,Secretary
תאמרי,Say
בסך,Total
שאיבדו,Lost
להתקשר,Call
מתים,Dead
שיבוא,Come
לתת,Give
להוביל,Lead
יקח,Take
התיכון,Middle
נאמר,said
נעבור,Pass
אנה,Anna
אהרון,Aaron
לשמור,Save
ראפ,Rap
מינימלית,Minimum
תנו,Give
מיכאל,Michael
גב,Back
משפחה,Family
כוח,Power
רצון,Will
נעה,Moving
כולן,All
שפת,Language
עשר,Ten
חלקים,Parts
למזרח,East
ההיסטוריה,History
אב,Father
יוסף,Joseph
בזכות,Due
רוצות,Want
נדבר,Talk
בשפה,Language
כביש,Road
טבע,Nature
באר,Bar
אדומים,Red
עצוב,Sad
שמדבר,Speaking
דברים,Things
חשוב,Important
כתוב,Write
מגיעה,Coming
שירי,Song
נותנים,Give
לישון,Sleep
סרט,Film
תתן,Give
החברים,Members
ההיא,That
להשאיר,Leave
לטייל,Travel
תישאר,Stay
חובש,Medic
חלומי,Dream
עולמי,World
סערה,Storm
האביב,Spring
יחדיו,Together
קחו,Take
תשאירו,Leave
נע,Moving
סיפור,Story
עני,Answer
מבקש,Request
הזולת,Others
גבוהים,High
המוני,Mass
שלו,His
מצאת,Found
שמא,Sham
תיפול,Fall
נא,Please
נערה,Girl
בפי,Fi
נוף,View
כעורך,Editor
הרך,Soft
ירצה,Will
אח,Brother
סב,Sav
למשימה,Mission
דלק,Fuel
כחולות,Blue
צליל,Sound
מעיני,Eye
צעיר,Young
פארק,Park
קצה,Edge
עשיר,Rich
מהנה,Fun
עזבה,Left
השאירה,Left
ליבה,Core
בשעת,At
פתח,Open
שער,Gate
הקודש,Holy
מכאב,Pain
לחש,Spell
כלל,Rule
צעירה,Young
כזו,Such
הניחו,Lay
האחרון,Last
חדל,Stop
עמד,Stand
ה,The
שמור,Save
זכור,Remember
פעמון,Bell
נשמע,Sounds
למנוחה,Rest
אראה,Look
להחזיק,Hold
מור,Moore
מעיר,City
חזור,Return
הבא,Next
לכאן,Here
דע,Know
בר,Bar
השלישית,Third
בלבד,Only
יציל,Save
מראה,Appearance
אישה,Woman
שמו,Name
המוות,Death
האחרונה,Last
מסר,Message
עזרו,Help
נמצא,Found
לאכול,Eat
צעירים,Young
משחקים,Games
בשבת,Saturday
אלון,Oak
למרחקים,Distance
המזל,Luck
להביט,Look
מלח,Salt
כנס,Enter
סודי,Secret
תדע,Know
בואו,Come
בגין,Begin
למדינת,State
יוביל,Lead
ביוני,June
לרמה,Level
עיירה,Town
בל,Bell
הראה,Show
תדעו,Know
