English,Hebrew
Dad,אבא.
Spring,אביב
But,אבל
Red,אדום
Or,או
Ear,אוזן
Bus,אוטובוס
Food,אוכל
Maybe,אולי.
University,אוניברסיטה
So,אז
Brother,אח
Last,אחרון
Which,איזה
Slow,איטי
How,איך?
Where,איפה?
Woman,אישה
If,אם
English,אנגלית
Allow,אפשר
You,אתה
You,אתה
You,אתה
Yesterday,אתמול
Please,בבקשה.
Morning,בוקר טוב.
Outside,בחוץ
Together,ביחד
Medium,בינוני
Beer,בירה
Home,ראשי
School,בית ספר
Ben,בן.
Building,בניין
Bank,בנק
Fine,בסדר.
Inside,בפנים.
Soon,בקרוב
Meat,בשר
Back,אחורה
High,גבוה
Large,גדול
Body,גוף
Also,גם
Rain,גשם
Fish,דגים
Mail,דואר
South,דרום
Next,הבא
India,הודו
Present,נוכח
Parents,הורים
She,היא
Today,היום
They,הם
They,הם
Pause,השהה
Many,רבים
Time,זמן
Member,חבר
Company,חברה
Room,חדר
New,חדש
News,חדשות
Month,חודש
Heat,חום
Winter,חורף
Strong,חזק
Window,חלון
Window,חלון
Hot,חם.
Shop,חנות
Half,חצי
Account,חשבון
Important,חשוב
Cat,חתול
Phone,טלפון
Hand,יד
Jewish,יהודי
Day,יום
Thursday,יום חמישי
Sunday,יום ראשון
Wednesday,יום רביעי
Tuesday,יום שלישי
Monday,יום שני
Friday,יום שישי
Single,רווק
Boy,ילד.
Girl,ילדה
Sea,ים
Right,נכון.
Exit,יציאה
Green,ירוק
Moon,ירח
Israel,ישראל
Pain,כאב
Road,כביש
Ball,כדור
Football,כדורגל
Hat,כובע
Star,כוכב
Blue,כחול
Chair,כיסא
Class,מחלקה
All,הכל
Dog,כלב
Nothing,כלום.
Yeah,כן.
Money,כסף
Foot,רגל
Address,כתובת
Orange,כתום
Heart,לב
White,לבן
Night,לילה טוב.
Why,למה?
Down,למטה
Top,למעלה
Before,לפני
Very,מאוד.
Late,מאוחר
Test,בדיקה
Country,מדינה
What,מה?
Quick,מהר.
Music,מוזיקה
Brain,מוח
Ready,מוכן
Early,מוקדם
Weather,מזג אוויר
East,מזרח
Tomorrow,מחר
Computer,מחשב
Who,מי?
Bed,מיטה
Water,מים.
Anyone,מישהו?
Car,מכונית
Full,מלא
Salt,מלח
Government,ממשלה
Number,מספר
West,מערב
Developer,מפתח
Camera,מצלמה
Place,מיקום
Something,משהו.
Game,משחק
Police,משטרה.
Family,משפחה
Office,משרד
Sweet,מתוק.
When,מתי
Driver,נהג
River,נהר
Paper,נייר
Right,נכון.
Low,נמוך
Ant,נמלה
Clear,נקה
Weapons,נשקים.
Close,סגור
End,סוף
Student,סטודנט
Story,סיפור
Sorry,מצטער.
Sports,ספורט
Book,ספר
Library,ספרייה
Film,סרט
Past,עבר
World,עולם
Chicken,עוף
Pen,עט
Eye,עין
City,עיר
Spider,עכביש
Now,עכשיו.
About,אודות
Answer,תשובה
Cloud,ענן
Tree,עץ
Bone,עצם
Channel,ערוץ
Rich,עשיר
Future,עתיד
Here,הנה.
Face,פנים
Once,פעם אחת
Times,זמנים
Chapter,פרק
Simple,פשוט
Open,פתח
Color,צבע
Yellow,צהוב
Bird,ציפור
North,צפון
Group,קבוצה
Small,קטן
Summer,קיץ
Wall,קיר
Easy,לאט.
Cold,קר
Hard,חזק
Head,ראש
First,ראשון
Many,רבים
Foot,רגל
Wait,חכה.
Doctor,דוקטור.
Street,רחוב
Soft,רך
Train,רכבת
Bad,רע
Just,רק
Question,שאלה
Week,שבוע
Saturday,שבת
Again,שוב.
Table,טבלה
Black,שחור
of,של
Hello,שלום.
Pay,שלם.
Name,שם
Left,שמאל
Sky,שמיים
Oil,שמן
Sun,שמש
Year,שנה
Second,שני
Hour,שעה
Clock,שעון
Gate,שער
Language,שפה
fig,תאנה
Tea,תה
Thanks,תודה.
Station,תחנה
Baby,מותק.
Image,תמונה
Orange,כתום
Apple,תפוח
Answer,תשובה
