statement,translation
אחרי,After
יבואו,Coming
פתאום,Suddenly
אנשים,People
בלי,
עם,With
חיבוק,Hug
פנים,Face
אישית,Personal
אפתח,Open
נייר,Paper
מפה,Map
כאילו,Like
צריכים,Need
ירדו,Down
בין,Between
הכול,All
יישאר,Stay
כשהיה,When
מאז,Since
מעולם,Never
שנייה,Second
עוד,More
ימים,Days
על,About
יחיד,Single
הכל,All
יחזור,Returns
כמו,Like
כל,All
הולדת,Birth
חברים,Friends
שישי,Friday
תינוק,Baby
חדש,New
כבר,Already
עזבו,Leave
רק,Just
כאן,Here
פתוחה,Open
לקחת,Take
אין,
יותר,More
הזמן,Time
פראי,Wild
אבל,But
הרבה,Many
תהיה,Be
חופשי,Free
בכל,All
חלון,Window
נערות,Girls
עומדות,Standing
עיר,City
מוצא,Find
בניין,Building
מישהי,Someone
סוף,End
יחד,Together
איש,Man
אותי,Me
הורים,Parents
אפילו,Even
אחד,One
הזאת,This
קשה,Hard
של,of
ללא,
אהבת,Love
עזב,Left
גשם,Rain
הם,They
ילדים,Children
לראות,See
לקוות,Hope
לבכות,Cry
לחיות,Live
גם,Also
ילד,Boy
פעם,Once
אך,But
תחיה,Live
אדם,Adam
כאלה,Such
תמונה,Image
אחת,One
תמיד,Always
חוזרת,Repeat
הרגש,Feel
זוכר,Remember
אחרת,Otherwise
אם,If
מרגיש,Feel
בתוך,Inside
עמוק,Deep
אוהבת,Love
תתני,Give
לי,Lee
לעזוב,Leave
פחות,Less
לעולם,Never
קול,Voice
פנימי,Internal
עכשיו,Now
רוצה,Want
עצמי,Self
כי,Because
בפנים,Inside
יודע,Know
שעל,About
היא,She
מעצמה,Power
איך,How
לילה,Night
שלחה,Send
אף,
כמעט,Nearly
שנה,Year
ענן,Cloud
מן,Man
מכתב,Letter
שרו,Sing
קיץ,Summer
ישוב,Return
אותה,Her
אהבה,Love
באפריל,April
או,Or
במאי,May
שולחן,Table
שוב,Again
הבית,Home
האבק,Dust
לפני,Before
בוקר,Morning
ארץ,Country
לאיזה,Which
יום,Day
איזה,Which
מעל,Over
שומרת,Save
מתי,When
תני,Give
בהיר,Bright
אבן,Stone
ישנה,Old
פשוטה,Simple
לאחרונה,Recently
אלה,These
לאחר,After
שנים,Years
חוזר,Repeat
סגור,Close
מבקשת,Request
נעשה,Done
קר,Cold
רחוב,Street
אחר,Other
תמונות,Photos
תל,Tel
הן,They
חלק,Part
הטבע,Nature
אוהב,Love
צבע,Color
ירוק,Green
אגם,Lake
סופר,Author
שבע,Seven
משיר,Song
מין,Gender
עונה,Season
אפשר,Allow
ללמוד,Learn
בבית,Home
במרכז,Center
חצי,Half
שעה,Hour
סוד,Secret
הלימוד,Study
מהיר,Quick
גבעה,Hill
סיכוי,Chance
נוסף,More
קבע,Set
חופשית,Free
שלמים,Complete
קו,Line
דבר,Talk
קרב,Battle
הזה,This
חשבון,Account
אור,Light
מהבית,Home
זיכרון,Memory
בית,Home
חלום,Dream
ציפור,Bird
אדומה,Red
ליד,Next
פרופסור,Professor
פועל,Running
שחור,Black
מסמכים,Documents
מדווחים,Reporting
מעשה,Act
אנשי,People
מתוך,From
נהר,River
מכונית,Car
צבאית,Military
אבי,Father
הצדק,Justice
בשביל,For
נראה,Looks
קטנה,Small
גדולה,Large
הלילה,Tonight
יד,Hand
כוכב,Star
הצפון,North
רוח,Wind
לשבת,Sit
כוכבים,Stars
שח,Check
הביטו,Look
מאדים,Mars
בצד,Side
גר,Live
שם,Name
ארבעה,Four
אוויר,Air
למעלה,Top
שלושים,Thirty
מגיע,Coming
מחפשים,Search
תשובה,Answer
תקווה,Hope
רוצים,Want
שדה,Field
בקרה,Control
קם,Cam
רם,Ram
אש,Fire
מים,Water
ניתן,Enabled
אלמד,Learn
עץ,Tree
יכול,Can
מנגנים,Playing
פרטי,Private
עושים,Do
פותחים,Open
שלחו,Send
מפני,Because
ידעו,Know
בשר,Meat
כדי,To
אוגוסט,August
להישאר,Stay
פרטים,Details
קטנים,Small
שחוזר,Returns
בחזרה,Back
שמש,Sun
ספסל,Bench
פשוטים,Simple
שלנו,Our
לימים,Days
אמא,Mom
חכמה,Smart
האחרונים,Recent
שלה,Her
עשוי,May
השפה,Language
כנראה,Probably
איבדה,Lost
תגידו,Say
שקר,False
יתרה,Balance
בגלל,Because
עושה,does
גופה,Body
ביחד,Together
פנימה,Inside
עומדים,Standing
במקום,Instead
אתמול,Yesterday
לפעמים,Sometimes
בשורה,Line
חוקים,Rules
עלי,Ali
כללים,Rules
אמת,Truth
ברור,Clear
חזק,Strong
מלחמה,War
קטן,Small
החיים,Life
שלי,Mine
גשר,Bridge
דצמבר,December
ריק,Empty
צל,Shadow
כבד,Heavy
חורף,Winter
זמן,Time
משתנה,Variable
היום,Today
פותח,Open
פחד,Fear
כאב,Pain
מקום,Place
בו,Bo
עומד,Standing
מענה,Reply
הולך,Going
שבו,Sit
חסרות,Missing
רואות,See
אמונה,Faith
אחרון,Last
התקווה,Hope
עולם,World
לבנים,White
נשים,Women
גברים,Men
נבנה,Built
שעון,Clock
ליידי,Lady
בפעם,Time
האהבה,Love
לשנות,Change
לשאול,Ask
מת,Dead
חושב,Think
עיקר,Main
שומר,Guard
נסגר,Close
רבות,Many
הולכים,Going
מסביב,Around
מצא,Find
לפתע,Suddenly
לב,Heart
יצא,Out
בכיכר,Square
שכל,Mind
אחזור,Return
גיבור,Hero
נגמר,Over
מוכן,Ready
חכמים,Smart
מדהימים,Amazing
ברירה,Choice
פעמים,Times
קרוב,Close
לגשת,Access
תוך,While
כולו,All
אזהרה,Warning
תגידי,Say
מכל,All
טעות,Error
ניפגש,Meet
טיפה,Drop
חום,Heat
אדום,Red
חזרה,Back
לוקחת,Take
תשאלי,Ask
נגמרה,Over
לדעת,Knowing
שאין,None
אדמה,Earth
לגעת,Touch
לשבור,Break
ליפול,Fall
באמצע,Middle
